ID,성별,연령,거주지역,구매시각,구매지역,상품분류,구매수량,구매금액
U981606401,여성,63,서울 관악구,12일-10월-2021년 20시,서울 관악구,식품-가공식품,1개,9000.0
U747027568,여성,61,서울 양천구,21일-1월-2021년 15시,서울 양천구,가전제품-컴퓨터주변기기,1개,252000.0
U631348605,남성,61,서울 종로구,24일-2월-2021년 14시,서울 강서구,식품-가공식품,1개,3000.0
U624006990,여성,58,경기 안양시,29일-11월-2021년 15시,경기 안양시,식품-농산물,1개,5000.0
U492425419,여성,59,경기 안양시,28일-10월-2021년 15시,경기 이천시,의류잡화-여성용의류-SPA,1개,1196000.0
U14661989,남성,58,서울 은평구,10일-7월-2021년 16시,서울 중구,식품-농산물,1개,5000.0
U396407220,여성,75,경기 고양시,18일-1월-2021년 14시,경기 고양시,의류잡화-남성용의류-정장류,1개,135000.0
U293595778,여성,60,경기 동두천시,3일-3월-2021년 17시,경기 동두천시,가전제품-휴대폰/태블릿,1개,27000.0
U714704797,여성,60,부산 사하구,4일-12월-2021년 15시,부산 중구,식품-음료,1개,1000.0
U348197478,남성,59,서울 강북구,14일-9월-2021년 10시,서울 노원구,식품-건강식품,3개,23000.0
U512423747,여성,56,서울 강서구,7일-2월-2021년 13시,서울 강남구,의류잡화-여성용의류-SPA,-1개,-320000.0
U685168263,여성,61,경기 수원시,15일-12월-2021년 14시,경기 수원시,식품-가공식품,1개,10000.0
U140823611,여성,66,서울 강동구,15일-10월-2021년 15시,서울 송파구,의류잡화-여성용의류-SPA,1개,36000.0
U901095122,남성,59,부산 동래구,6일-11월-2021년 15시,부산 동래구,가전제품-주방가전,1개,
U622672192,여성,55,서울 마포구,28일-6월-2021년 15시,서울 중구,생활잡화-주방용품,1개,107000.0
U153345164,여성,63,경기 안양시,29일-11월-2021년 15시,경기 안양시,의류잡화-여성용의류-SPA,1개,75000.0
U24670755,여성,55,서울 노원구,23일-1월-2021년 15시,서울 노원구,식품-가공식품,1개,3000.0
U539032107,남성,60,경기 고양시,18일-1월-2021년 12시,경기 고양시,의류잡화-여성용의류-이너웨어,-1개,-127000.0
U818812845,남성,74,경기 김포시,19일-5월-2021년 17시,서울 영등포구,식품-가공식품,1개,9000.0
U688887059,여성,59,경기 구리시,19일-10월-2021년 13시,경기 구리시,식품-가공식품,2개,13000.0
U414259324,여성,56,서울 서초구,25일-6월-2021년 15시,서울 강남구,식품-수산물,1개,9000.0
U278833166,여성,59,부산 사하구,4일-7월-2021년 15시,부산 중구,가전제품-주방가전,1개,7000.0
U686626065,남성,59,경기 안양시,22일-8월-2021년 20시,서울 금천구,가전제품-TV/AV,1개,413000.0
U563037763,여성,63,경기 안산시,21일-8월-2021년 20시,경기 안산시,식품-가공식품,1개,3000.0
U885884093,여성,67,서울 노원구,23일-10월-2021년 17시,서울 노원구,가전제품-생활가전,1개,21000.0
U287272994,여성,67,경기 부천시,15일-12월-2021년 12시,경기 부천시,생활잡화-침구류,1개,306000.0
