STU_ID,X1STU30OCC2
12424,27
14300,27
29579,29
28217,29
11561,29
10234,29
24169,29
12984,29
14811,29
11588,29
34003,29
26595,29
31393,29
28106,27
34453,29
30312,29
23920,29
24871,29
13275,29
28523,29
29981,29
18159,29
32674,29
23708,29
15904,29
20666,29
18636,29
31405,29
29922,29
26183,27
17797,27
22841,29
17393,55
23761,27
19415,29
32711,29
19290,29
25127,29
18520,29
33553,27
32441,29
27523,29
29377,29
21081,29
14734,27
34077,29
25777,29
26773,29
34285,27
24846,29
27363,29
23101,27
34530,27
33302,29
30434,17
15481,29
34699,27
27149,29
32309,29
15192,27
30905,29
33046,29
27378,27
30869,29
14560,27
11726,29
15087,27
11164,27
20834,29
32304,29
27935,29
20194,29
31681,29
17171,29
13024,29
12636,29
21823,29
22796,29
13009,27
32710,29
28834,29
29314,27
26601,29
29603,29
20717,29
24434,29
10252,27
26150,29
14013,29
32845,29
19281,29
26268,29
28833,29
24535,29
17889,29
19600,29
26782,29
28338,29
22538,29
13154,27
10619,29
18811,29
12785,29
32757,27
32122,29
14851,27
31517,27
25007,27
13584,29
13203,29
22920,29
22712,29
18379,27
21426,29
13067,29
12837,29
12789,29
21412,29
32868,29
30632,27
11195,29
34024,29
22182,27
31082,27
15702,29
31621,29
23188,27
16295,29
28486,29
13439,29
31332,29
26289,27
28947,29
26367,29
14841,29
17553,29
34861,29
17956,29
29481,29
12508,29
16673,27
28756,29
34759,29
21119,29
24190,27
14084,27
17345,29
27589,29
20228,17
33043,29
12391,29
23020,29
13434,29
34385,27
19837,29
33428,29
23625,29
11670,29
11493,29
18697,29
25227,17
18296,27
22192,29
26629,27
24789,27
11929,29
15834,27
17757,29
19465,27
29466,29
16513,29
27069,27
15096,29
10121,27
24953,29
16814,27
27501,49
19633,29
20602,29
29698,47
30418,29
20171,27
34927,17
11106,29
13741,29
32948,27
29288,29
26080,29
20792,29
15675,27
19577,29
26061,29
26073,29
10853,17
24385,29
23617,49
14033,29
28029,29
14893,29
17476,27
27305,27
22359,27
30463,29
34781,29
13834,27
19580,29
18347,17
28819,29
34016,29
28722,29
20630,27
12435,27
16952,29
27112,27
30823,29
23255,29
15510,29
16386,17
19441,27
29578,29
21484,29
26033,29
13769,29
11648,29
31183,27
20860,27
20824,27
23620,27
33807,27
24840,29
21127,29
24050,29
17681,27
25510,29
21482,27
25683,29
24841,29
13097,29
22868,29
20067,29
14132,29
10160,29
13644,29
32194,29
33638,27
30265,27
26802,29
10451,29
14166,29
24580,27
33963,29
20154,29
20361,29
10861,29
34684,27
34117,17
31840,29
32979,29
23926,29
27436,29
30693,29
11262,27
27013,29
10119,27
30047,27
25370,27
20765,29
31766,29
25887,17
16872,29
31641,27
32414,27
32888,27
28724,27
15929,29
21959,29
11802,29
31669,29
17603,29
15391,27
15214,29
28451,29
25924,29
15119,29
27178,29
24635,29
17090,29
20420,27
26992,29
23570,27
31647,29
19945,27
12189,29
13023,27
24441,27
23030,29
15280,29
28538,27
29261,29
30906,29
25304,27
17220,27
25162,27
20094,29
25575,29
34708,29
32207,29
10603,29
21322,29
23794,29
29039,29
27156,27
16182,29
30155,29
11130,29
24094,29
12213,27
23672,29
23569,29
27450,27
30555,27
27965,29
10633,27
15584,29
27568,27
21585,29
17938,29
34800,29
12361,29
20649,27
33474,27
13539,27
25986,29
30776,27
26031,27
33420,29
20721,27
26933,29
12095,29
26968,27
32255,29
23028,29
16372,29
12914,29
32895,29
20335,29
28450,29
19962,29
31956,29
24371,29
20106,29
16638,29
14785,29
11464,29
30173,27
12960,27
16486,29
20033,29
25094,27
29199,29
25114,29
30726,25
10750,29
11167,27
23550,27
31263,29
34996,27
33089,29
19656,27
29414,27
28480,29
19270,29
11943,27
10414,29
11623,29
12108,27
29326,29
18317,29
21995,29
21434,27
22469,27
14797,27
28367,29
33247,27
18665,29
23574,27
11553,27
33954,27
11616,29
32973,29
23853,29
14487,29
34406,29
11838,29
27412,29
25568,29
11722,27
27975,27
28603,29
12390,29
14867,27
15732,29
18718,29
13505,29
19195,29
19486,27
29724,29
27491,29
33135,27
18410,29
14041,29
15319,27
23326,17
12236,29
24402,29
16947,25
25710,17
14790,29
18442,27
23145,27
15625,27
13685,27
29956,17
17692,27
14012,29
27679,29
34221,29
12689,27
24960,29
14996,29
34035,29
26006,29
22048,27
17139,29
25600,27
18949,27
29548,17
27471,27
18194,27
21889,29
17808,27
14744,29
16155,29
31121,29
17682,29
23302,27
33548,29
22882,27
26914,29
26642,29
14376,29
22972,29
31419,29
23224,29
10136,29
11374,29
31598,29
14539,29
34116,29
14719,27
29294,29
13753,29
10315,27
11316,17
19784,27
25384,29
28086,27
34746,29
14335,29
22860,29
22090,29
22411,27
26341,29
18998,29
17991,29
30695,29
28421,29
28059,29
16945,29
21000,29
22811,29
29335,29
23193,29
27183,27
21589,29
27419,29
23610,29
10656,27
21069,29
21881,27
34009,27
12850,29
23337,29
28179,29
20259,17
31982,29
16500,29
13714,27
14125,29
26202,27
10537,27
16938,29
14090,27
11677,29
34409,27
11379,29
15617,29
23153,29
31738,29
21531,29
13265,29
12592,27
16356,29
27037,29
22470,27
34976,29
18130,17
25689,29
31852,29
18731,29
21242,29
22645,27
12745,29
12559,29
32637,29
26251,29
14454,29
11140,29
14327,27
26196,29
17617,29
11659,27
33278,27
13574,27
24267,29
16881,27
17685,29
33752,29
12211,29
12965,29
19700,29
19754,29
27943,27
20993,29
23864,17
21520,29
19780,27
32633,27
17323,29
29045,29
10045,29
24494,17
12134,29
19931,29
21143,29
12027,29
17110,29
12392,27
15037,27
22102,29
27654,29
21961,29
12292,27
33181,29
28093,29
11353,29
22366,29
32184,29
31551,27
33584,27
33073,27
16508,29
14848,27
26015,27
31285,29
31150,29
15431,29
19932,29
22216,27
28128,29
34486,29
22910,29
33117,29
27852,29
32530,29
34950,29
23540,27
32697,27
15232,27
15875,29
30270,29
31234,29
12963,17
33176,29
10333,27
23544,27
34426,29
10464,29
32222,27
12656,29
23785,29
10305,27
10842,27
11426,29
15674,29
26224,29
22389,29
10937,29
15713,29
29750,29
19373,17
29567,49
12344,29
32761,29
15734,29
18229,29
29535,29
12846,29
34049,29
34568,29
21030,27
32839,29
10757,27
16926,27
17032,17
17733,29
10214,29
20268,27
28582,27
16677,29
32676,29
30571,29
16831,55
18769,29
15421,27
12215,29
28437,27
17833,27
27834,29
11636,29
20531,29
15736,29
30185,27
23103,27
11056,29
27061,29
26840,27
22843,29
25552,27
12221,27
32670,29
12693,29
32233,29
34778,29
23449,29
33981,29
12842,29
14603,29
27516,27
26401,29
10334,29
15826,29
20445,29
35138,27
31652,29
21752,29
21573,27
16429,29
25759,27
24355,27
21773,27
23576,29
14769,27
16391,29
22418,29
17457,29
32272,29
14384,29
20380,27
18862,29
33576,29
22508,29
32897,17
21415,29
34124,29
13443,29
27668,29
11592,29
15631,27
27635,29
14999,17
12399,27
29813,29
34345,29
25830,29
33961,29
15208,55
34256,29
30970,29
19556,29
35120,27
34607,29
27620,27
28868,27
20795,27
13145,29
10649,29
24158,29
20543,27
25223,27
11283,27
32684,29
19314,29
28498,27
15106,29
13393,29
29470,29
20596,27
32778,29
13062,29
22955,29
26881,29
25268,29
15553,29
20410,29
26213,27
27068,29
35058,29
20422,29
25477,29
20967,29
12127,29
22719,29
17576,27
24129,29
29497,29
29477,29
15733,27
19506,29
16097,29
24910,29
27202,29
34202,29
13818,27
19521,27
22971,29
23719,29
19800,17
23600,27
33400,29
19955,29
21348,27
18964,29
26949,27
25613,29
23005,29
35177,29
19695,29
16259,29
10135,27
16170,29
24533,29
17207,17
29169,17
26108,29
28155,29
34149,29
29038,27
14007,27
24530,29
10530,27
13311,17
26351,29
12628,27
24248,27
15870,27
12714,29
27401,29
26272,29
10617,29
15109,29
15318,27
12070,29
18168,27
10567,27
20500,27
23063,29
17511,29
31525,29
24180,29
31081,27
10632,29
21874,29
20314,27
11624,27
14541,27
28904,29
10335,29
12603,29
16753,27
11438,29
15614,29
32143,27
21498,29
24549,27
29095,29
14082,29
26776,27
32456,27
25405,29
28954,29
25773,29
16397,27
22581,27
32554,29
13788,29
20362,27
22322,27
16243,27
28390,27
28114,29
16923,27
34727,29
18674,29
18838,29
31958,27
32160,29
23004,29
28036,29
21349,29
10435,27
30873,29
12383,27
19093,29
12561,29
28909,29
27574,27
10053,27
32393,27
21336,27
25119,27
18396,29
25018,29
21098,29
28656,29
28257,27
34601,29
30575,17
12201,29
29602,27
22447,29
11875,17
29140,29
18041,27
28654,29
16145,27
30276,27
25324,29
16395,29
33287,27
25263,29
30393,27
10461,27
25113,29
11098,29
26640,23
19495,27
12866,29
22595,27
30858,27
28628,29
10394,17
29713,29
24480,29
27857,29
21135,29
28358,29
34467,17
34447,29
23421,27
14637,27
14149,27
24082,29
15026,27
18786,27
15871,29
28994,27
34663,27
24503,29
20349,27
34856,27
13700,29
31705,17
19504,27
14027,29
10527,29
10402,29
20752,29
11063,29
20007,27
25549,29
20341,27
31970,29
17630,29
30512,29
21108,29
31743,27
33862,29
12839,29
22984,29
15365,27
20289,55
14334,29
19125,29
23231,29
32558,27
32954,29
22995,29
15655,29
11536,29
26217,29
33703,49
19469,27
14229,29
19397,27
29454,29
25565,17
10261,29
13156,29
14291,29
20443,29
31453,17
14379,33
23049,29
22798,27
16661,29
25459,27
15246,29
19629,29
24159,29
20466,29
11180,29
10893,29
27757,27
16114,27
13436,29
29644,29
21282,17
16398,29
31501,27
15344,27
35067,29
32380,29
23578,29
22183,29
31814,27
31455,29
28151,29
24504,27
18506,27
30801,27
31934,29
22959,29
25115,29
22900,29
19241,27
14522,29
16740,27
11276,27
14615,27
18584,29
11321,27
33353,29
34273,29
16390,29
29632,29
27971,29
23365,29
33390,29
19178,27
11676,27
27658,27
30375,27
11253,29
20945,29
19860,29
21089,29
16924,29
27229,29
15926,29
34897,27
30679,27
28642,29
20203,29
19989,27
22547,29
25685,29
23583,29
29652,29
17061,29
15602,27
18118,27
29060,29
22745,27
12436,29
17528,27
25630,29
15433,27
25675,27
27084,29
18612,29
27402,29
31428,29
33554,29
11067,29
26502,29
13429,29
27265,29
29772,29
12898,29
31221,27
15744,29
24898,27
13133,29
32771,29
27385,29
11062,27
12982,27
12170,29
25875,29
18089,29
33572,27
16166,27
23382,17
26531,27
25130,27
10465,27
15609,27
19965,27
14406,29
12016,29
14895,27
22537,25
10954,29
23391,19
24961,29
11499,27
15401,25
14361,29
30288,29
16286,27
32325,29
34186,27
24003,29
12388,27
17251,27
28458,29
20111,27
14400,29
25923,27
26917,29
25381,29
23779,27
34736,29
16472,29
29130,29
26624,29
23871,29
23668,27
33023,29
19132,17
13930,27
21237,29
33813,29
16037,29
28960,29
17147,29
12953,29
12061,27
26126,29
12123,27
17475,27
10440,27
21729,29
31856,29
25385,29
17729,29
22526,29
17274,27
18588,29
11388,29
25775,29
23798,29
28555,29
22465,29
28229,29
33681,29
30783,29
32567,29
29810,29
32383,29
20006,29
11381,17
14492,27
19552,29
25705,29
19713,27
21901,29
29156,29
11259,27
16766,27
16804,27
26621,29
12826,29
23465,29
28595,29
18105,27
26678,29
26820,27
31341,29
19642,29
11529,17
25070,27
12135,29
32726,27
10957,29
17269,29
20950,29
16803,29
21033,27
15271,29
10639,27
19313,29
19023,29
10665,29
32705,29
23185,29
13927,29
29831,29
28090,29
34915,29
10229,29
11820,29
15412,29
15525,29
31900,27
20381,29
11810,33
27038,29
28794,29
22737,29
30492,29
25271,29
17663,29
33695,29
34694,29
27487,29
34085,27
18570,29
31383,29
12255,29
