STU_ID,X1STU30OCC2
12424,33
14300,45
29579,17
28217,51
11561,23
10234,29
24169,25
12984,23
14811,29
11588,35
34003,39
26595,19
31393,17
28106,47
34453,25
30312,31
23920,29
24871,17
13275,29
28523,53
29981,25
18159,31
32674,29
23708,39
15904,19
20666,15
18636,29
31405,21
29922,23
26183,55
17797,55
22841,49
17393,49
23761,53
19415,11
32711,21
19290,29
25127,41
18520,41
33553,45
32441,49
27523,39
29377,25
21081,39
14734,11
34077,41
25777,25
26773,25
34285,25
24846,21
27363,55
23101,49
34530,55
33302,23
30434,17
15481,45
34699,47
27149,17
32309,13
15192,15
30905,31
33046,39
27378,15
30869,41
14560,55
11726,29
15087,33
11164,17
20834,41
32304,19
27935,13
20194,29
31681,17
17171,29
13024,15
12636,15
21823,29
22796,41
13009,33
32710,41
28834,21
29314,47
26601,41
29603,29
20717,25
24434,53
10252,23
26150,41
14013,23
32845,29
19281,13
26268,15
28833,39
24535,13
17889,17
19600,39
26782,23
28338,27
22538,17
13154,27
10619,41
18811,29
12785,17
32757,11
32122,39
14851,27
31517,27
25007,53
13584,29
13203,39
22920,29
22712,39
18379,51
21426,31
13067,39
12837,29
12789,41
21412,19
32868,19
30632,49
11195,41
34024,15
22182,41
31082,49
15702,23
31621,15
23188,55
16295,41
28486,31
13439,23
31332,29
26289,49
28947,21
26367,39
14841,39
17553,15
34861,17
17956,15
29481,19
12508,33
16673,39
28756,25
34759,29
21119,29
24190,47
14084,19
17345,39
27589,25
20228,17
33043,19
12391,41
23020,29
13434,55
34385,13
19837,29
33428,19
23625,35
11670,19
11493,17
18697,17
25227,17
18296,15
22192,29
26629,49
24789,13
11929,39
15834,49
17757,35
19465,31
29466,29
16513,19
27069,45
15096,19
10121,49
24953,39
16814,55
27501,55
19633,31
20602,39
29698,51
30418,27
20171,27
34927,17
11106,15
13741,11
32948,47
29288,53
26080,13
20792,29
15675,41
19577,17
26061,35
26073,47
10853,17
24385,25
23617,49
14033,39
28029,23
14893,17
17476,11
27305,33
22359,41
30463,41
34781,29
13834,45
19580,15
18347,17
28819,29
34016,35
28722,25
20630,11
12435,11
16952,17
27112,17
30823,41
23255,11
15510,39
16386,13
19441,15
29578,11
21484,41
26033,31
13769,19
11648,19
31183,53
20860,25
20824,55
23620,27
33807,45
24840,31
21127,29
24050,19
17681,45
25510,19
21482,49
25683,31
24841,39
13097,45
22868,15
20067,15
14132,23
10160,25
13644,29
32194,39
33638,49
30265,55
26802,29
10451,21
14166,53
24580,55
33963,13
20154,39
20361,53
10861,39
34684,53
34117,15
31840,39
32979,21
23926,39
27436,29
30693,39
11262,11
27013,47
10119,47
30047,13
25370,27
20765,21
31766,15
25887,17
16872,39
31641,33
32414,49
32888,49
28724,39
15929,49
21959,49
11802,17
31669,17
17603,39
15391,51
15214,39
28451,33
25924,41
15119,19
27178,29
24635,21
17090,41
20420,47
26992,17
23570,49
31647,41
19945,47
12189,21
13023,21
24441,53
23030,39
15280,49
28538,27
29261,55
30906,29
25304,35
17220,47
25162,27
20094,15
25575,29
34708,29
32207,39
10603,19
21322,19
23794,39
29039,29
27156,45
16182,25
30155,21
11130,17
24094,29
12213,49
23672,53
23569,15
27450,39
30555,53
27965,15
10633,41
15584,41
27568,27
21585,41
17938,17
34800,53
12361,39
20649,45
33474,17
13539,49
25986,13
30776,31
26031,13
33420,41
20721,53
26933,29
12095,53
26968,35
32255,17
23028,21
16372,15
12914,51
32895,13
20335,41
28450,45
19962,15
31956,29
24371,29
20106,17
16638,19
14785,29
11464,19
30173,15
12960,15
16486,27
20033,39
25094,33
29199,47
25114,41
30726,13
10750,13
