,min,25%,50%,75%,max,null_check
STU_ID,10001.0,16317.75,22661.5,28909.75,35205.0,0
X1SEX,1.0,1.0,2.0,2.0,2.0,0
X1RACE,1.0,5.0,8.0,8.0,8.0,0
X1HISPANIC,0.0,0.0,0.0,0.0,1.0,0
X1WHITE,0.0,0.0,1.0,1.0,1.0,118
X1BLACK,0.0,0.0,0.0,0.0,1.0,118
X1DUALLANG,1.0,1.0,1.0,1.0,3.0,10
X1STDOB,199201.0,199410.0,199502.0,199505.0,199612.0,3
X1TXMTH,-2.5672,-0.5248,0.03565,0.711525,3.0283,0
X1TXMSEM,0.1727,0.2395,0.2548,0.2768,0.587,0
X1TXMSCR,15.8692,32.2771,40.59855,49.064925,69.9317,0
X1TXMTSCOR,24.0999,45.30225,51.120599999999996,58.137024999999994,82.1876,0
X1TXMQUINT,1.0,2.0,3.0,4.0,5.0,0
X1TXMPROF1,0.0078,0.9327749999999999,0.9923,0.9995,1.0,0
X1TXMPROF2,0.0099,0.329475,0.7549,0.9541,1.0,0
X1TXMPROF3,0.0272,0.10967500000000001,0.3558,0.8474,1.0,0
X1TXMPROF4,0.0367,0.0503,0.08,0.2468,0.9982,0
X1TXMPROF5,0.0462,0.0493,0.0563,0.0887,0.9796,0
X1MACC,0.0,0.0,0.0,0.0,1.0,415
X1PARRESP,0.0,1.0,1.0,1.0,1.0,3301
X1P1RELATION,1.0,1.0,1.0,2.0,16.0,3301
X1PAR1EDU,1.0,2.0,3.0,4.0,7.0,3301
X1PAR1EMP,1.0,2.0,4.0,4.0,4.0,3301
X1PAR1OCC2,11.0,21.0,31.0,43.0,55.0,3620
X1PAR1OCC_STEM1,0.0,0.0,0.0,0.0,6.0,3620
X1PAR1RACE,2.0,5.0,8.0,8.0,9.0,3914
X1P2RELATION,1.0,2.0,2.0,2.0,16.0,5785
X1PAR2EDU,1.0,2.0,2.0,4.0,7.0,5785
X1PAR2EMP,1.0,3.0,4.0,4.0,4.0,5785
X1PAR2OCC2,11.0,17.0,37.0,47.0,55.0,6032
X1PAR2OCC_STEM1,0.0,0.0,0.0,0.0,6.0,6032
X1PAR2RACE,2.0,5.0,8.0,8.0,9.0,6209
X1PAREDU,1.0,2.0,3.0,4.0,7.0,3301
X1PARPATTERN,1.0,1.0,1.0,4.0,11.0,3301
X1MOMRESP,0.0,0.0,1.0,1.0,1.0,3301
X1MOMREL,0.0,1.0,1.0,1.0,3.0,3301
X1MOMEDU,0.0,2.0,2.0,4.0,7.0,3301
X1MOMEMP,0.0,2.0,3.0,4.0,4.0,3301
X1MOMOCC2,0.0,15.0,29.0,41.0,55.0,3724
X1MOMOCC_STEM1,0.0,0.0,0.0,0.0,6.0,4541
