STU_ID,X1SEX,X1RACE,X1STDOB,X1TXMTH,X1TXMSEM,X1TXMSCR,X1TXMTSCOR,X1TXMPROF1,X1TXMPROF2,X1TXMPROF3,X1TXMPROF4,X1TXMPROF5,X1PAR1EDU,X1PAR1EMP,X1PAR1OCC2,X1PAR1RACE,X1P2RELATION,X1PAR2EDU,X1PAR2OCC2,X1PAREDU,X1PARPATTERN,X1MOMEDU,X1MOMEMP,X1MOMOCC2,X1MOMRACE,X1DADEDU,X1DADOCC2,X1HHNUMBER,X1FAMINCOME,X1SES,X1SESQ5,X1SES_U,X1SESQ5_U,X1MTHID,X1MTHUTI,X1MTHEFF,X1MTHINT,X1SCIID,X1SCIUTI,X1SCIEFF,X1SCIINT,X1SCHOOLBEL,X1SCHOOLENG,X1STUEDEXPCT,X1PAREDEXPCT,X1TMLINK,X1TMCRSLINK,X1TMCOMM,X1TMEFF,X1TMEXP,X1TMPRINC,X1TMRESP,X1TSLINK,X1TSCRSLINK,X1TSCOMM,X1TSEFF,X1TSEXP,X1TSPRINC,X1TSRESP,X1LOCALE,X1REGION,X1SCHOOLCLI,X1COUPERTEA,X1COUPERCOU,X1COUPERPRI,X1AQSTAT,birthyear,birthmonth,X1STU30OCC2
10002,2,8,199511.0,-0.2956,0.2696,35.8045,47.6821,0.9714,0.5204,0.1768,0.0582,0.0512,3.0,3.0,43.0,5.0,2.0,2.0,51.0,3.0,1.0,3.0,3.0,43.0,5.0,2.0,51.0,6.0,3.0,-0.3699,2,-0.3923,2,-0.57,1.31,0.55,0.19,0.91,1.69,0.69,0.16,0.05,-0.2,11,6.0,1,2,-0.14,0.55,1.29,-0.23,-0.13,1,2,1.69,-0.86,0.54,-0.13,-0.13,4,1,0.32,-0.8,1.15,-1.61,1,5,11,0
10003,2,3,199506.0,1.2997,0.2555,56.0477,64.2431,1.0,0.9914,0.9838,0.6606,0.2001,7.0,4.0,21.0,3.0,0.0,0.0,0.0,7.0,7.0,7.0,4.0,21.0,3.0,0.0,0.0,3.0,6.0,1.2741,5,1.1271,5,-0.57,0.27,0.68,0.86,-0.33,0.1,-0.05,0.93,0.37,1.39,10,10.0,1,1,1.02,0.2,0.32,0.88,-0.13,8,8,0.01,0.17,0.16,-0.13,-0.13,2,4,-0.61,0.81,-0.15,0.0,1,5,6,5
10004,2,8,199505.0,-0.1427,0.2649,38.0888,49.269,0.9843,0.6416,0.2459,0.0662,0.0531,4.0,2.0,11.0,8.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.5498,5,0.4283,4,0.6,-0.7,0.1,0.19,-0.33,0.1,0.25,-0.67,-0.04,-0.2,10,10.0,3,8,-0.03,0.2,0.3,-0.11,-0.13,1,8,0.01,0.17,0.16,-0.13,-0.13,2,3,-2.14,0.03,0.26,0.2,1,5,5,0
10005,1,8,199505.0,1.1405,0.2312,54.1762,62.5897,0.9999,0.9863,0.9686,0.5385,0.1551,4.0,4.0,37.0,8.0,0.0,0.0,0.0,4.0,7.0,4.0,4.0,37.0,8.0,0.0,0.0,4.0,9.0,0.1495,4,0.2147,4,0.56,-1.1,0.1,-0.96,-0.33,-1.88,0.25,-1.5,-2.27,0.33,6,10.0,1,2,-0.11,-0.57,0.23,0.08,-1.37,1,1,-0.43,-0.25,1.37,-0.13,-0.3,1,3,-0.65,-0.25,0.14,0.05,1,5,5,10
10006,2,8,199504.0,0.7106,0.2567,49.0531,58.1268,0.9995,0.9539,0.8469,0.2463,0.0886,3.0,4.0,29.0,8.0,6.0,3.0,29.0,3.0,2.0,3.0,4.0,29.0,8.0,3.0,29.0,6.0,5.0,1.0639,5,1.0968,5,1.16,1.31,1.23,2.08,-1.57,0.1,0.25,0.16,-0.52,0.96,10,8.0,1,2,0.2,1.55,0.9,1.48,0.03,3,2,-3.0,-0.86,-1.12,-0.32,-0.13,4,3,-0.31,0.51,-0.9,0.69,1,5,4,0
10009,1,8,199501.0,0.2348,0.2424,43.2048,53.1875,0.9966,0.8449,0.5091,0.1044,0.0615,2.0,2.0,43.0,8.0,1.0,2.0,31.0,2.0,1.0,2.0,4.0,31.0,8.0,2.0,43.0,3.0,4.0,-0.3103,3,-0.1961,3,0.6,-0.13,0.1,0.19,0.27,-1.5,0.25,-1.05,0.11,0.1,11,11.0,9,9,-0.03,0.2,0.3,-0.11,-0.13,8,8,0.01,0.17,0.16,-0.13,-0.13,3,3,-0.16,1.0,1.15,1.1,1,5,1,7
10011,1,8,199506.0,0.5539,0.2513,47.1568,56.5005,0.9991,0.9301,0.7563,0.1809,0.0764,3.0,4.0,17.0,8.0,1.0,5.0,25.0,5.0,1.0,5.0,4.0,25.0,8.0,3.0,17.0,6.0,5.0,1.2058,5,1.0842,5,1.76,1.31,1.34,1.35,1.52,0.1,0.25,0.16,-0.04,-0.58,8,6.0,8,8,-0.03,0.2,0.3,-0.11,-0.13,9,9,0.01,0.17,0.16,-0.13,-0.13,2,3,0.61,-2.2,-1.38,-1.11,1,5,6,3
10014,2,3,199203.0,-1.7601,0.3513,18.991,32.4783,0.1274,0.0282,0.0306,0.0378,0.0464,2.0,4.0,41.0,3.0,0.0,0.0,0.0,2.0,7.0,2.0,4.0,41.0,3.0,0.0,0.0,2.0,2.0,-0.8837,1,-0.7851,1,-1.73,-0.13,0.1,0.19,0.91,0.1,0.25,0.16,-1.61,-1.74,2,6.0,3,8,0.16,1.47,0.99,-0.11,0.79,3,8,1.69,0.32,0.99,-0.13,1.57,3,3,-0.73,0.03,-1.5,0.69,1,2,3,1
10018,1,8,199411.0,1.2745,0.2565,55.7519,63.9808,1.0,0.9908,0.982,0.642,0.192,7.0,4.0,21.0,8.0,1.0,4.0,25.0,7.0,1.0,4.0,4.0,25.0,8.0,7.0,21.0,5.0,4.0,1.3989,5,1.6782,5,0.6,0.9,0.1,0.47,0.91,0.1,0.67,0.99,1.59,-0.17,6,7.0,8,8,-0.03,0.2,0.3,-0.11,-0.13,1,1,-0.15,-0.35,0.16,-0.13,0.09,3,2,0.68,0.37,-0.21,-0.16,1,4,11,1
10019,1,5,199506.0,0.3026,0.2333,44.06,53.8914,0.9974,0.8682,0.5647,0.1159,0.0638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0106,3,-0.0453,3,1.76,0.9,1.62,1.05,-0.33,-0.33,1.42,0.16,-0.59,0.67,8,0.0,1,1,-4.07,-0.36,1.14,1.48,-0.13,1,2,1.6,0.11,1.17,1.48,-0.13,1,2,-1.48,0.52,1.15,1.1,1,5,6,11
10022,1,2,199410.0,0.6912,0.2702,48.8196,57.9257,0.9995,0.9515,0.8372,0.237,0.0868,5.0,2.0,11.0,0.0,2.0,5.0,11.0,5.0,1.0,5.0,2.0,11.0,0.0,5.0,11.0,4.0,13.0,1.4372,5,1.4352,5,1.19,-0.7,0.78,-0.8,2.15,1.69,-0.61,0.5,1.09,-0.62,10,8.0,8,8,-0.03,0.2,0.3,-0.11,-0.13,8,8,0.01,0.17,0.16,-0.13,-0.13,1,4,0.39,1.07,0.08,-0.52,1,4,10,0
10024,1,8,199504.0,0.5286,0.2806,46.8489,56.238,0.999,0.9253,0.7392,0.1724,0.0748,5.0,3.0,43.0,8.0,2.0,3.0,41.0,5.0,1.0,5.0,3.0,43.0,8.0,3.0,41.0,5.0,4.0,0.1402,4,0.0219,3,0.0,-0.13,-0.17,0.19,0.91,0.1,-0.05,0.09,-0.04,-0.26,6,8.0,1,8,-0.03,0.2,0.3,-0.11,-0.13,1,1,-0.31,-0.62,-0.85,-0.13,-0.13,2,2,-1.27,-1.0,1.15,1.1,1,5,4,0
10025,1,8,199402.0,-1.2501,0.2438,23.1111,37.7725,0.4929,0.0658,0.0399,0.04,0.0469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1901,3,-0.1905,3,0.0,1.31,0.1,0.19,-1.57,0.1,-0.9,-2.15,0.84,0.63,8,0.0,3,2,0.66,1.3,-1.42,-0.11,-0.13,3,2,-0.48,-1.74,0.94,-0.67,1.08,1,4,-0.31,-2.21,-2.54,-1.11,1,4,2,1
10027,2,8,199508.0,-0.3108,0.2836,35.5713,47.5236,0.9697,0.5075,0.1711,0.0576,0.0511,2.0,2.0,39.0,8.0,2.0,4.0,33.0,4.0,1.0,2.0,2.0,39.0,8.0,4.0,33.0,5.0,5.0,0.0887,4,0.1443,4,0.03,-0.13,0.1,0.19,-1.57,0.1,0.25,0.16,1.09,0.23,11,6.0,8,8,-0.03,0.2,0.3,-0.11,-0.13,8,8,0.01,0.17,0.16,-0.13,-0.13,1,1,-0.31,-1.44,-0.9,-0.14,8,5,8,1
10029,1,8,199405.0,-1.5235,0.3111,20.6687,34.9344,0.2636,0.0409,0.0335,0.0386,0.0466,1.0,4.0,53.0,8.0,0.0,0.0,0.0,1.0,7.0,1.0,4.0,53.0,8.0,0.0,0.0,3.0,3.0,-0.8297,1,-0.9147,1,-1.73,-0.7,-1.41,-0.96,-1.57,-0.89,-1.02,0.16,-1.0,-0.94,2,2.0,1,1,-0.23,0.4,-0.7,-0.62,-0.66,1,2,0.5,0.03,-0.25,-0.29,0.08,4,2,0.56,0.03,0.26,0.2,1,4,5,7
10034,2,5,199411.0,-0.6157,0.2673,30.9064,44.3582,0.9075,0.2653,0.0921,0.0481,0.0488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0409,3,-0.0685,3,-1.73,0.27,-1.68,-0.74,0.27,0.23,-2.05,-1.12,-0.98,-1.0,4,0.0,3,2,1.29,0.12,0.9,0.63,1.65,1,1,1.6,3.17,1.19,0.5,1.71,1,2,0.17,0.33,-0.09,0.08,1,4,11,2
10036,2,8,199503.0,0.5674,0.2638,47.3214,56.6409,0.9991,0.9325,0.7652,0.1857,0.0773,3.0,4.0,33.0,8.0,6.0,3.0,41.0,3.0,2.0,3.0,4.0,33.0,8.0,3.0,41.0,7.0,5.0,0.1493,4,0.1982,4,0.6,1.31,0.27,0.19,-0.33,0.1,0.25,0.16,0.16,0.71,8,6.0,1,1,-0.52,-0.19,-0.92,-0.39,-0.13,9,9,0.01,0.17,0.16,-0.13,-0.13,1,2,0.35,-0.19,0.26,0.59,1,5,3,12
10037,2,8,199506.0,1.1592,0.2336,54.3978,62.7847,0.9999,0.987,0.9709,0.5533,0.1597,3.0,4.0,29.0,8.0,2.0,3.0,49.0,3.0,1.0,3.0,4.0,29.0,8.0,3.0,49.0,4.0,5.0,0.5238,4,0.5493,5,0.6,-0.3,0.1,0.49,0.91,0.1,0.25,0.16,-0.04,1.39,8,8.0,8,8,-0.03,0.2,0.3,-0.11,-0.13,8,8,0.01,0.17,0.16,-0.13,-0.13,4,3,-0.31,0.03,0.26,0.2,8,5,6,0
10039,2,2,199410.0,1.4296,0.2406,57.5591,65.5911,1.0,0.9942,0.9907,0.748,0.2485,4.0,4.0,11.0,2.0,2.0,4.0,49.0,4.0,1.0,4.0,4.0,11.0,2.0,4.0,49.0,7.0,6.0,0.6753,5,0.7026,5,1.76,-0.3,1.62,0.56,0.31,0.1,-0.59,-0.21,-0.62,1.39,8,10.0,1,8,0.37,0.43,0.01,0.88,-0.13,1,1,1.32,0.28,0.99,1.32,1.49,1,3,-0.31,0.11,0.61,1.1,3,4,10,0
10044,1,8,199409.0,1.5791,0.2398,59.2757,67.1436,1.0,0.9963,0.9952,0.8286,0.319,4.0,4.0,41.0,8.0,2.0,7.0,23.0,7.0,1.0,4.0,4.0,41.0,8.0,7.0,23.0,4.0,13.0,1.3291,5,1.3242,5,1.76,-0.93,1.62,1.02,0.27,-0.89,-0.59,-0.17,1.34,-0.56,10,10.0,2,8,-0.03,0.2,0.3,-0.11,-0.13,2,8,1.14,-0.49,1.37,1.32,1.74,1,3,0.19,1.56,1.15,1.1,1,4,9,4
