my_id,유형
A052133,무면허
A074188,무면허
A070801,무면허
A017799,무면허
A038642,무면허
A055213,무면허
A063211,무면허
A001340,무면허
A019629,무면허
A001874,무면허
A036121,무면허
A037228,무면허
A035280,무면허
A049689,무면허
A001717,무면허
A059427,무면허
A006523,무면허
A024595,무면허
A004064,무면허
A042345,무면허
A053689,무면허
A024260,무면허
A066893,무면허
A070946,무면허
A058642,무면허
A051564,무면허
A021906,무면허
A015324,무면허
A060788,무면허
A004509,무면허
A050279,무면허
A012398,무면허
A070509,무면허
A021645,무면허
A057455,무면허
A071269,무면허
A064252,무면허
A005522,무면허
A000150,무면허
A046046,무면허
A072351,무면허
A026383,무면허
A017086,무면허
A033936,무면허
A057163,무면허
A001754,무면허
A012859,무면허
A066504,무면허
A009599,무면허
A064720,무면허
A009374,무면허
A028277,무면허
A046664,무면허
A045526,무면허
A063202,무면허
A012663,무면허
A031305,무면허
A029632,무면허
A030448,무면허
A052641,무면허
A030692,무면허
A047525,무면허
A050740,무면허
A022033,무면허
A071750,무면허
A024570,무면허
A049834,무면허
A011827,무면허
A053593,무면허
A054613,무면허
A072033,무면허
A049813,무면허
A006415,무면허
A053420,무면허
A051266,무면허
A067565,무면허
A004460,무면허
A061374,무면허
A018959,무면허
A011508,무면허
A030499,무면허
A048827,무면허
A049146,무면허
A053884,무면허
A010171,무면허
A019005,무면허
A072093,무면허
A049505,무면허
A021951,무면허
A017976,무면허
A072059,무면허
A060427,무면허
A051280,무면허
A046401,무면허
A008033,무면허
A018709,무면허
A018253,무면허
A037956,무면허
A045875,무면허
A041566,무면허
A045150,무면허
A017607,무면허
A049067,무면허
A035380,무면허
A057886,무면허
A018256,무면허
A061256,무면허
A037237,무면허
A057627,무면허
A030587,무면허
A004794,무면허
A014862,무면허
A056467,무면허
A006064,무면허
A056787,무면허
A020192,무면허
A033993,무면허
A001074,무면허
A063992,무면허
A026063,무면허
A011899,무면허
A050440,무면허
A049289,무면허
A023035,무면허
A056396,무면허
A000510,무면허
A006603,무면허
A005843,무면허
A066034,무면허
A034322,무면허
A023702,무면허
A008086,무면허
A036015,무면허
A030467,무면허
A035545,무면허
A069431,무면허
A033668,무면허
A005622,무면허
A001313,무면허
A028689,무면허
A060143,무면허
A038883,무면허
A062305,무면허
A035700,무면허
A047790,무면허
A050221,무면허
A061887,무면허
A061764,무면허
A004258,무면허
A063258,무면허
A019203,무면허
A004986,무면허
A008143,무면허
A030035,무면허
A050505,무면허
A051789,무면허
A018462,무면허
A051176,무면허
A048087,무면허
A000777,무면허
A014305,무면허
A025432,무면허
A029814,무면허
A004923,무면허
A032556,무면허
A074316,무면허
A038870,무면허
A012141,무면허
A056968,무면허
A045808,무면허
A006154,무면허
A025104,무면허
A065978,무면허
A014733,무면허
A045977,무면허
A015843,무면허
A007787,무면허
A029970,무면허
A028739,무면허
A053337,무면허
A071806,무면허
A010053,무면허
A019558,무면허
A036620,무면허
A073098,무면허
A032646,무면허
A013213,무면허
A051515,무면허
A059739,무면허
A035464,무면허
A021821,무면허
A000325,무면허
A074416,무면허
A073001,무면허
A014603,무면허
A067954,무면허
A028366,무면허
A022068,무면허
A070660,무면허
A021389,무면허
A043860,무면허
A005277,무면허
A012644,무면허
A020417,무면허
A007167,무면허
A008517,무면허
A069820,무면허
A070781,무면허
A026813,무면허
A007806,무면허
A006256,무면허
A041056,무면허
A021562,무면허
A058454,무면허
A042941,무면허
A008730,무면허
A031097,무면허
A041260,무면허
A024294,무면허
A028141,무면허
A054574,무면허
A049548,무면허
A004709,무면허
A034690,무면허
A064465,무면허
A033826,무면허
A012543,무면허
A064302,무면허
A052565,무면허
A008612,무면허
A029285,무면허
A037639,무면허
A032842,무면허
A026944,무면허
A049217,무면허
A042571,무면허
A017211,무면허
A014985,무면허
A006614,무면허
A069221,무면허
A049720,무면허
A064273,무면허
A059896,무면허
A034872,무면허
A011196,무면허
A001252,무면허
A021296,무면허
A042392,무면허
A043075,무면허
A047251,무면허
A056109,무면허
A004285,무면허
A036316,무면허
A014006,무면허
A024837,무면허
A022601,무면허
A044644,무면허
A062461,무면허
A034024,무면허
A026693,무면허
A056602,무면허
A025208,무면허
A030745,무면허
A020716,무면허
A002442,무면허
A064653,무면허
A073889,무면허
A056123,무면허
A039498,무면허
A010782,무면허
A066140,무면허
A046387,무면허
A055974,무면허
A073270,무면허
A065778,무면허
A040728,무면허
A036942,무면허
A033802,무면허
A032929,무면허
A069750,무면허
A029109,무면허
A018749,무면허
A010552,무면허
A040484,무면허
A054612,무면허
A070822,무면허
A031724,무면허
A044048,무면허
A067964,무면허
A026724,무면허
A027176,무면허
A013526,무면허
A022830,무면허
A024357,무면허
A062973,무면허
A021449,무면허
A054198,무면허
A024075,무면허
A062808,무면허
A033278,무면허
A051895,무면허
A019654,무면허
A030818,무면허
A021599,무면허
A051172,무면허
A051997,무면허
A046929,무면허
A013039,무면허
A004166,무면허
A024764,무면허
A033874,무면허
A048857,무면허
A051546,무면허
A024287,무면허
A040405,무면허
A001339,무면허
A035891,무면허
A020891,무면허
A008392,무면허
A055635,무면허
A019178,무면허
A045455,무면허
A034880,무면허
A010282,무면허
A024105,무면허
A052061,무면허
A044919,무면허
A022982,무면허
A067083,무면허
A056314,무면허
A038950,무면허
A032732,무면허
A045616,무면허
A064125,무면허
A048724,무면허
A052481,무면허
A006851,무면허
A067421,무면허
A036395,무면허
A061253,무면허
A012702,무면허
A007672,무면허
A071450,무면허
A029117,무면허
A012445,무면허
A008652,무면허
A015874,무면허
A055225,무면허
A051807,무면허
A004526,무면허
A058958,무면허
A050093,무면허
A005189,무면허
A048701,무면허
A065462,무면허
A070157,무면허
A017048,무면허
A039315,무면허
A040331,무면허
A014063,무면허
A058045,무면허
A068382,무면허
A051864,무면허
A038878,무면허
A073772,무면허
A031977,무면허
A002020,무면허
A018583,무면허
A030666,무면허
A034108,무면허
A065573,무면허
A015132,무면허
A011750,무면허
A055545,무면허
A061270,무면허
A050494,무면허
A042861,무면허
A020091,무면허
A004508,무면허
A027377,무면허
A042937,무면허
A049756,무면허
A052754,무면허
A005453,무면허
A003329,무면허
A071759,무면허
A014019,무면허
A023888,무면허
A071936,무면허
A036410,무면허
A024665,무면허
A037869,무면허
A010615,무면허
A020206,무면허
A016102,무면허
A073033,무면허
A013581,무면허
A055130,무면허
A018057,무면허
A054983,무면허
A069038,무면허
A016415,무면허
A034256,무면허
A014279,무면허
A034718,무면허
A047462,무면허
A055434,무면허
A047088,무면허
A047181,무면허
A050555,무면허
A046980,무면허
A017164,무면허
A001420,무면허
A059213,무면허
A009738,무면허
A051734,무면허
A067915,무면허
A017839,무면허
A055230,무면허
A043301,무면허
A021541,무면허
A061174,무면허
A058226,무면허
A072888,무면허
A014522,무면허
A039578,무면허
A055175,무면허
A068187,무면허
A007085,무면허
A045352,무면허
A037870,무면허
A049072,무면허
A072795,무면허
A035739,무면허
A045866,무면허
A029739,무면허
A070650,무면허
A021452,무면허
A070726,무면허
A008575,무면허
A024644,무면허
A018589,무면허
A049785,무면허
A005572,무면허
A034489,무면허
A051898,무면허
A026005,무면허
A030708,무면허
A008796,무면허
A042422,무면허
A010963,무면허
A070512,무면허
A032205,무면허
A066226,무면허
A068985,무면허
A050141,무면허
A068374,무면허
A065617,무면허
A070232,무면허
A012034,무면허
A014445,무면허
A039783,무면허
A050014,무면허
A044062,무면허
A009702,무면허
A052615,무면허
A051792,무면허
A036474,무면허
A006000,무면허
A067666,무면허
A000113,무면허
A039555,무면허
A060060,무면허
A048228,무면허
A007950,무면허
A049448,무면허
A010446,무면허
A071283,무면허
A035364,무면허
A052644,무면허
A065898,무면허
A060474,무면허
A057800,무면허
A007181,무면허
A030868,무면허
A024799,무면허
A015298,무면허
A015265,무면허
A070563,무면허
A070083,무면허
A034740,무면허
A003986,무면허
A054627,무면허
A030639,무면허
A057162,무면허
A015196,무면허
A003433,무면허
A015399,무면허
A039844,무면허
A026486,무면허
A038894,무면허
A015374,무면허
A048736,무면허
A070093,무면허
A032669,무면허
A038145,무면허
A030574,무면허
A007589,무면허
A054052,무면허
A057227,무면허
A006435,무면허
A036344,무면허
A069009,무면허
A056834,무면허
A012192,무면허
A021634,무면허
A028731,무면허
A027543,무면허
A055930,무면허
A006936,무면허
A062360,무면허
A066309,무면허
A021101,무면허
A055479,무면허
A034764,무면허
A029899,무면허
A041011,무면허
A068119,무면허
A057950,무면허
A048686,무면허
A003529,무면허
A074287,무면허
A028911,무면허
A011187,무면허
A040877,무면허
A053372,무면허
A015108,무면허
A059180,무면허
A071253,무면허
A040597,무면허
A059377,무면허
A065730,무면허
A067011,무면허
A009255,무면허
A038089,무면허
A015738,무면허
A074433,무면허
A061049,무면허
A002393,무면허
A027820,무면허
A032169,무면허
A068459,무면허
A057641,무면허
A026462,무면허
A028855,무면허
A064948,무면허
A030107,무면허
A073260,무면허
A037599,무면허
A004172,무면허
A022067,무면허
A050846,무면허
A032709,무면허
A021473,무면허
A025167,무면허
A044988,무면허
A001330,무면허
A026124,무면허
A002030,무면허
A036502,무면허
A004242,무면허
A029057,무면허
A050194,무면허
A012871,무면허
A067231,무면허
A005319,무면허
A046328,무면허
A026692,무면허
A070950,무면허
A002408,무면허
A016041,무면허
A026914,무면허
A052525,무면허
A008110,무면허
A026193,무면허
A041971,무면허
A053196,무면허
A025273,무면허
A041914,무면허
A066183,무면허
A027736,무면허
A035649,무면허
A053920,무면허
A052723,무면허
A010780,무면허
A013446,무면허
A069011,무면허
A006542,무면허
A026767,무면허
A057995,무면허
A050312,무면허
A000027,무면허
A065339,무면허
A055842,무면허
A045525,무면허
A011829,무면허
A032324,무면허
A014665,무면허
A061305,무면허
A030330,무면허
A020694,무면허
A054435,무면허
A051062,무면허
A041978,무면허
A071786,무면허
A024568,무면허
A058953,무면허
A070948,무면허
A012304,무면허
A066474,무면허
A028506,무면허
A027053,무면허
A029950,무면허
A042733,무면허
A001019,무면허
A050579,무면허
A053582,무면허
A032853,무면허
A008050,무면허
A041819,무면허
A017972,무면허
A047622,무면허
A054878,무면허
A009483,무면허
A054959,무면허
A034621,무면허
A012424,무면허
A012903,무면허
A055861,무면허
A038611,무면허
A040087,무면허
A035221,무면허
A062384,무면허
A006013,무면허
A022290,무면허
A065847,무면허
A058100,무면허
A038334,무면허
A052725,무면허
A020139,무면허
A013701,무면허
A043094,무면허
A007163,무면허
A074300,무면허
A069470,무면허
A050496,무면허
A001454,무면허
A045721,무면허
A005860,무면허
A011543,무면허
A031555,무면허
A050268,무면허
A027328,무면허
A055722,무면허
A018955,무면허
A066953,무면허
A036388,무면허
A037320,무면허
A032893,무면허
A014291,무면허
A043567,무면허
A047514,무면허
A021509,무면허
A002264,무면허
A006331,무면허
A047301,무면허
A066044,무면허
A038660,무면허
A019525,무면허
A047633,무면허
A006866,무면허
A042013,무면허
A057936,무면허
A004577,무면허
A068555,무면허
A056140,무면허
A040680,무면허
A053189,무면허
A045942,무면허
A069118,무면허
A060277,무면허
A051651,무면허
A044392,무면허
A071627,무면허
A019343,무면허
A070964,무면허
A039897,무면허
A032617,무면허
A066658,무면허
A059227,무면허
A063003,무면허
A056851,무면허
A058650,무면허
A030906,무면허
A071073,무면허
A016004,무면허
A065506,무면허
A058388,무면허
A046695,무면허
A071909,무면허
A036032,무면허
A065784,무면허
A066916,무면허
A054582,무면허
A009657,무면허
A065682,무면허
A009149,무면허
A006545,무면허
A056560,무면허
A009331,무면허
A044554,무면허
A015969,무면허
A020795,무면허
A038873,무면허
A072221,무면허
A056453,무면허
A067880,무면허
A064071,무면허
A016870,무면허
