resume_seq,recruitment_seq
U00001,R00609
U00001,R03925
U00001,R04780
U00001,R01528
U00001,R01331
U00002,R01081
U00002,R02412
U00002,R04074
U00002,R03672
U00002,R05601
U00003,R01727
U00003,R04583
U00003,R00056
U00003,R03237
U00003,R03099
U00004,R06652
U00004,R00314
U00004,R02072
U00004,R02134
U00004,R02561
U00005,R04069
U00005,R05792
U00005,R05327
U00005,R05776
U00005,R04744
U00006,R01692
U00006,R05557
U00006,R01650
U00006,R04603
U00006,R06410
U00007,R05776
U00007,R00012
U00007,R04744
U00007,R03046
U00007,R04255
U00008,R00285
U00008,R05343
U00008,R01655
U00008,R03246
U00008,R03643
U00009,R04709
U00009,R04278
U00009,R04047
U00009,R00314
U00009,R01331
U00010,R02991
U00010,R06650
U00010,R04066
U00010,R00397
U00010,R02671
U00011,R03097
U00011,R03213
U00011,R01379
U00011,R04158
U00011,R01280
U00012,R04288
U00012,R06186
U00012,R02234
U00012,R00085
U00012,R01481
U00013,R02234
U00013,R00597
U00013,R02632
U00013,R02504
U00013,R04420
U00014,R01103
U00014,R01081
U00014,R03672
U00014,R04774
U00014,R05574
U00015,R02075
U00015,R00804
U00015,R05481
U00015,R00944
U00015,R01214
U00016,R00609
U00016,R03925
U00016,R04780
U00016,R05076
U00016,R01331
U00017,R03638
U00017,R00559
U00017,R01625
U00017,R02105
U00017,R04771
U00018,R05665
U00018,R00804
U00018,R01214
U00018,R00056
U00018,R02779
U00019,R05714
U00019,R03418
U00019,R00663
U00019,R04771
U00019,R02105
U00020,R02826
U00020,R05574
U00020,R00811
U00020,R03744
U00020,R01538
U00021,R00014
U00021,R01135
U00021,R05156
U00021,R03352
U00021,R03611
U00022,R03744
U00022,R04458
U00022,R01538
U00022,R02826
U00022,R06572
U00023,R03658
U00023,R03055
U00023,R01233
U00023,R03744
U00023,R04258
U00024,R00056
U00024,R01214
U00024,R03046
U00024,R00944
U00024,R04976
U00025,R00914
U00025,R06183
U00025,R04390
U00025,R04424
U00025,R02609
U00026,R03639
U00026,R00609
U00026,R04066
U00026,R03266
U00026,R00597
U00027,R04228
U00027,R02174
U00027,R00639
U00027,R01665
U00027,R02609
U00028,R04420
U00028,R06446
U00028,R01081
U00028,R02632
U00028,R00609
U00029,R04424
U00029,R02609
U00029,R05772
U00029,R04390
U00029,R04572
U00030,R02356
U00030,R00083
U00030,R04398
U00030,R02547
U00030,R06536
U00031,R05507
U00031,R04420
U00031,R05266
U00031,R03266
U00031,R01551
U00032,R02929
U00032,R06015
U00032,R01540
U00032,R01538
U00032,R05175
U00033,R05165
U00033,R04785
U00033,R01214
U00033,R00012
U00033,R06383
U00034,R02504
U00034,R04424
U00034,R03658
U00034,R01214
U00034,R04390
U00035,R00609
U00035,R01488
U00035,R05076
U00035,R03925
U00035,R01528
U00036,R02991
U00036,R04047
U00036,R05537
U00036,R03638
U00036,R01625
U00037,R04420
U00037,R03639
U00037,R00609
U00037,R02234
U00037,R06524
U00038,R05175
U00038,R05468
U00038,R03854
U00038,R05337
U00038,R01551
U00039,R01214
U00039,R00944
U00039,R02105
U00039,R05165
U00039,R05481
U00040,R00827
U00040,R06013
U00040,R00804
U00040,R00370
U00040,R01214
U00041,R02587
U00041,R02307
