resume_seq,recruitment_seq
U00001,R01528
U00001,R03811
U00001,R03037
U00001,R06276
U00001,R02888
U00002,R02412
U00002,R01081
U00002,R04074
U00002,R05325
U00002,R02729
U00003,R05846
U00003,R02985
U00003,R00588
U00003,R04808
U00003,R04650
U00004,R02224
U00004,R04662
U00004,R00609
U00004,R05358
U00004,R02072
U00005,R04069
U00005,R04108
U00005,R05792
U00005,R05327
U00005,R03782
U00006,R00359
U00006,R01501
U00006,R03094
U00006,R01692
U00006,R00072
U00007,R05360
U00007,R00219
U00007,R06468
U00007,R03801
U00007,R00012
U00008,R02105
U00008,R05311
U00008,R04975
U00008,R00559
U00008,R05860
U00009,R01737
U00009,R02072
U00009,R05856
U00009,R00200
U00009,R06297
U00010,R02991
U00010,R00397
U00010,R04472
U00010,R02768
U00010,R01732
U00011,R05338
U00011,R04158
U00011,R01503
U00011,R00356
U00011,R01421
U00012,R06255
U00012,R05944
U00012,R00034
U00012,R05490
U00012,R05034
U00013,R05012
U00013,R02363
U00013,R05769
U00013,R04295
U00013,R05715
U00014,R01103
U00014,R03672
U00014,R06126
U00014,R04774
U00014,R01081
U00015,R00922
U00015,R04200
U00015,R02384
U00015,R01214
U00015,R00804
U00016,R05059
U00016,R00609
U00016,R04748
U00016,R02712
U00016,R02562
U00017,R03033
U00017,R00559
U00017,R05706
U00017,R02105
U00017,R04771
U00018,R00922
U00018,R06013
U00018,R01833
U00018,R01099
U00018,R02435
U00019,R02444
U00019,R02073
U00019,R01552
U00019,R01667
U00019,R06595
U00020,R02929
U00020,R02676
U00020,R03110
U00020,R02826
U00020,R00916
U00021,R03352
U00021,R05156
U00021,R02469
U00021,R04842
U00021,R04243
U00022,R03110
U00022,R03744
U00022,R02676
U00022,R04527
U00022,R00811
U00023,R05694
U00023,R06217
U00023,R03180
U00023,R03818
U00023,R02662
U00024,R03046
U00024,R04785
U00024,R01589
U00024,R05287
U00024,R01265
U00025,R06091
U00025,R06331
U00025,R03695
U00025,R02915
U00025,R02874
U00026,R00853
U00026,R00437
U00026,R00319
U00026,R02523
U00026,R01073
U00027,R05515
U00027,R06444
U00027,R06380
U00027,R03299
U00027,R02609
U00028,R00085
U00028,R03368
U00028,R06446
U00028,R01174
U00028,R02685
U00029,R05738
U00029,R04361
U00029,R01929
U00029,R04819
U00029,R05772
U00030,R06175
U00030,R06635
U00030,R06281
U00030,R04752
U00030,R00236
U00031,R02809
U00031,R01346
U00031,R05266
U00031,R04101
U00031,R05812
U00032,R04103
U00032,R05605
U00032,R02929
U00032,R05761
U00032,R01933
U00033,R06088
U00033,R06245
U00033,R00012
U00033,R04865
U00033,R03692
U00034,R04699
U00034,R02732
U00034,R00762
U00034,R05611
U00034,R01787
U00035,R03037
U00035,R01528
U00035,R04274
U00035,R01309
U00035,R04660
U00036,R00397
U00036,R00559
U00036,R06650
U00036,R00277
U00036,R01794
U00037,R02945
U00037,R03646
U00037,R05414
U00037,R03888
U00037,R04600
U00038,R04258
U00038,R02190
U00038,R04021
U00038,R05175
U00038,R06282
U00039,R06383
U00039,R03662
U00039,R01782
U00039,R02105
U00039,R00370
U00040,R00599
U00040,R00370
U00040,R01833
U00040,R06013
U00040,R04200
U00041,R02531
U00041,R00604
U00041,R02472
U00041,R04772
U00041,R02777
U00042,R01790
U00042,R01198
U00042,R05261
U00042,R00629
U00042,R02907
U00043,R02490
U00043,R00922
U00043,R04200
U00043,R00827
U00043,R01214
U00044,R01295
U00044,R01565
U00044,R00784
U00044,R03399
U00044,R04228
U00045,R01103
U00045,R04461
U00045,R02180
U00045,R05601
U00045,R04074
U00046,R05457
U00046,R04975
U00046,R03429
U00046,R06266
U00046,R01135
U00047,R04228
U00047,R06380
U00047,R00824
U00047,R04936
U00047,R03518
U00048,R01532
U00048,R06506
U00048,R01518
U00048,R02481
U00048,R02356
U00049,R00374
U00049,R00832
U00049,R05327
U00049,R05609
U00049,R05776
U00050,R05040
U00050,R02536
U00050,R00891
U00050,R02539
U00050,R05000
U00051,R02117
U00051,R05169
U00051,R06566
U00051,R00130
U00051,R00057
U00052,R01563
U00052,R01625
U00052,R02184
U00052,R02105
U00052,R00559
U00053,R03249
U00053,R00905
U00053,R06358
U00053,R06498
U00053,R05959
U00054,R02271
U00054,R04451
U00054,R04258
U00054,R03898
U00054,R02262
U00055,R05154
U00055,R04199
U00055,R05551
U00055,R02286
U00055,R02448
U00056,R02811
U00056,R03298
U00056,R01331
U00056,R05076
U00056,R04394
U00057,R02779
U00057,R03281
U00057,R02330
U00057,R01794
U00057,R02768
U00058,R01623
U00058,R02274
U00058,R03815
U00058,R02247
U00058,R00378
U00059,R06030
U00059,R00432
U00059,R06332
U00059,R00978
U00059,R05526
U00060,R06274
U00060,R03004
U00060,R04920
U00060,R01528
U00060,R02888
U00061,R05000
U00061,R00359
U00061,R00811
U00061,R06165
U00061,R03110
U00062,R05477
U00062,R00552
U00062,R05224
U00062,R02958
U00062,R05525
U00063,R01870
U00063,R00939
U00063,R05481
U00063,R04844
U00063,R02189
U00064,R01878
U00064,R02594
U00064,R03204
U00064,R02004
U00064,R04424
U00065,R02420
U00065,R03066
U00065,R00415
U00065,R00855
U00065,R06652
U00066,R03237
U00066,R02135
U00066,R06413
U00066,R03288
U00066,R03764
U00067,R00341
U00067,R06349
U00067,R00815
U00067,R00289
U00067,R05300
U00068,R02748
U00068,R01579
U00068,R01976
U00068,R02403
U00068,R03569
U00069,R05008
U00069,R04684
U00069,R05627
U00069,R00445
U00069,R03504
U00070,R01070
U00070,R01839
U00070,R05270
U00070,R00802
U00070,R01023
