resume_seq,recruitment_seq
U00001,R03891
U00001,R01528
U00001,R02457
U00001,R03811
U00001,R02064
U00002,R03730
U00002,R02183
U00002,R05047
U00002,R03155
U00002,R02106
U00003,R02985
U00003,R00636
U00003,R00588
U00003,R02703
U00003,R03179
U00004,R01767
U00004,R02072
U00004,R02616
U00004,R00314
U00004,R01183
U00005,R04108
U00005,R00538
U00005,R03028
U00005,R01032
U00005,R04534
U00006,R05557
U00006,R05072
U00006,R02027
U00006,R05917
U00006,R03094
U00007,R06018
U00007,R01541
U00007,R05047
U00007,R05540
U00007,R01573
U00008,R04771
U00008,R03336
U00008,R00389
U00008,R01036
U00008,R04665
U00009,R01737
U00009,R01563
U00009,R05341
U00009,R00162
U00009,R02286
U00010,R00397
U00010,R01255
U00010,R05595
U00010,R05537
U00010,R05778
U00011,R01347
U00011,R03193
U00011,R05063
U00011,R05446
U00011,R01374
U00012,R01081
U00012,R01103
U00012,R05559
U00012,R03029
U00012,R05236
U00013,R03314
U00013,R05769
U00013,R05571
U00013,R02674
U00013,R03199
U00014,R03182
U00014,R06680
U00014,R01103
U00014,R05919
U00014,R04588
U00015,R04616
U00015,R04385
U00015,R01767
U00015,R03354
U00015,R02384
U00016,R05059
U00016,R03490
U00016,R06653
U00016,R04934
U00016,R04748
U00017,R02884
U00017,R00259
U00017,R02421
U00017,R04771
U00017,R02105
U00018,R06198
U00018,R03354
U00018,R06327
U00018,R05045
U00018,R01232
U00019,R02121
U00019,R01147
U00019,R02041
U00019,R05854
U00019,R06595
U00020,R05417
U00020,R03474
U00020,R00529
U00020,R02964
U00020,R05736
U00021,R02913
U00021,R02469
U00021,R04662
U00021,R05680
U00021,R02165
U00022,R02536
U00022,R05858
U00022,R03110
U00022,R01758
U00022,R06280
U00023,R02343
U00023,R06440
U00023,R03818
U00023,R05485
U00023,R01482
U00024,R01419
U00024,R02115
U00024,R06620
U00024,R02906
U00024,R00051
U00025,R06183
U00025,R04704
U00025,R06091
U00025,R02890
U00025,R04751
U00026,R05875
U00026,R04259
U00026,R01073
U00026,R00608
U00026,R05199
U00027,R02174
U00027,R03266
U00027,R05515
U00027,R01486
U00027,R04608
U00028,R02685
U00028,R06446
U00028,R00780
U00028,R02815
U00028,R04987
U00029,R00707
U00029,R04361
U00029,R04819
U00029,R01547
U00029,R06322
U00030,R03456
U00030,R04077
U00030,R02480
U00030,R05195
U00030,R04127
U00031,R05186
U00031,R03003
U00031,R04538
U00031,R04420
U00031,R05420
U00032,R02929
U00032,R01540
U00032,R00493
U00032,R05761
U00032,R01933
U00033,R05467
U00033,R03351
U00033,R00012
U00033,R03692
U00033,R00297
U00034,R06535
U00034,R04286
U00034,R02614
U00034,R00982
U00034,R02974
U00035,R03037
U00035,R02770
U00035,R04190
U00035,R01470
U00035,R06596
U00036,R02220
U00036,R05745
U00036,R00303
U00036,R01363
U00036,R03510
U00037,R04131
U00037,R03558
U00037,R04600
U00037,R02604
U00037,R06508
U00038,R06495
U00038,R04856
U00038,R03560
U00038,R06505
U00038,R04904
U00039,R02233
U00039,R06145
U00039,R02075
U00039,R00259
U00039,R03921
U00040,R00599
U00040,R01538
U00040,R02954
U00040,R01676
U00040,R00507
U00041,R01558
U00041,R00882
U00041,R04845
U00041,R03499
U00041,R03252
U00042,R05036
U00042,R00242
U00042,R02281
U00042,R02324
U00042,R02273
U00043,R04200
U00043,R00599
U00043,R01099
U00043,R02093
U00043,R00333
U00044,R02868
U00044,R04228
U00044,R02767
U00044,R00328
U00044,R06583
U00045,R04074
U00045,R02180
U00045,R00766
U00045,R00151
U00045,R05049
U00046,R06265
U00046,R02293
U00046,R04205
U00046,R03064
U00046,R04767
U00047,R04961
U00047,R05286
U00047,R04228
U00047,R03073
U00047,R00049
U00048,R02147
U00048,R05268
U00048,R00593
U00048,R03739
U00048,R04084
U00049,R06462
U00049,R00854
U00049,R00314
U00049,R00370
U00049,R05609
U00050,R05983
U00050,R00714
U00050,R03759
U00050,R03671
U00050,R04547
U00051,R00106
U00051,R01699
U00051,R06021
U00051,R03662
U00051,R01442
U00052,R02558
U00052,R01864
U00052,R02942
U00052,R00123
U00052,R03117
U00053,R03249
U00053,R05218
U00053,R05471
U00053,R02610
U00053,R02432
U00054,R05909
U00054,R04217
U00054,R03122
U00054,R00116
U00054,R00485
U00055,R06625
U00055,R05915
U00055,R05346
U00055,R02448
U00055,R05551
U00056,R00823
U00056,R01184
U00056,R02712
U00056,R00678
U00056,R05921
U00057,R00293
U00057,R06112
U00057,R05961
U00057,R02165
U00057,R04842
U00058,R04419
U00058,R06056
U00058,R01868
U00058,R03262
U00058,R00274
U00059,R03790
U00059,R00978
U00059,R00432
U00059,R04857
U00059,R00643
U00060,R03009
U00060,R01309
U00060,R01528
U00060,R02888
U00060,R06653
U00061,R02536
U00061,R04445
U00061,R01884
U00061,R05417
U00061,R06410
U00062,R02958
U00062,R03468
U00062,R06555
U00062,R01892
U00062,R05224
