item_id,brand,corner,category,price
P2116050008000,에스티로더,수입종합화장품,화장품,90000
P4125440008000,시슬리,수입종합화장품,화장품,39000
P2116052008000,크리니크,수입종합화장품,화장품,175000
P4106430119900,듀퐁,수입의류,명품토탈,455000
P2139141008000,랑콤,수입종합화장품,화장품,100000
P4300381019900,CP컴퍼니,캐릭터캐주얼,캐릭터정장,113000
P6315960019900,폴로,트래디셔널,트래디셔널,118000
P4301000017000,노티카,트래디셔널,트래디셔널,434500
P4309200019900,워모,캐릭터캐주얼,캐릭터정장,445000
P4522862046000,레노마,브랜드침구,수예,1112000
P4400213022910,압소바,유아복,유아/완구,211350
P4134870003200,이사벨,캐릭터슈즈,패션슈즈,232000
P4502161930200,삼성,가전특정,가전,1416000
P4226470013074,마리앙쥬,행사,영트랜디,77000
P2700000000000,식품,즉석조리,조리식품,4200
P4414070026270,NII,진캐쥬얼,진캐주얼,60000
P4414070026000,NII,진캐쥬얼,진캐주얼,43000
P4417232028400,우들스,스포츠슈즈,스포츠,29000
P4400591020000,아놀드파마(아동),아동복,아동,35000
P6311162019900,빈폴,트래디셔널캐쥬얼,트래디셔널캐쥬얼,29000
P4109350003200,탠디,캐릭터슈즈,패션슈즈,135000
P4405620111000,지오다노,영캐쥬얼,영트랜디,74600
P4550900939000,브라운,취사소형,가전/문화,27000
P4300810019971,카운테스마라,넥타이,셔츠,61000
P4100615200100,기라로쉬(아스날),넥타이,셔츠,59000
P4234960014400,휠라인티모,란제리,란제리,68000
P4309141016400,피에르가르뎅,셔츠,셔츠,98000
P4556360043077,바디클럽,욕실용품,식기,109500
P2139140008300,폴로화장품,수입종합화장품,화장품,187000
P4400492028400,리복슈즈,스포츠슈즈,스포츠,89000
P4420400029970,피터스톰,스포츠단품,스포츠,54000
P4202285010000,텔레그라프,캐릭터캐쥬얼,영캐릭터캐쥬얼,621000
P4406050025000,닥스골프,골프(LC),골프,135000
P4423220025000,라코스테,골프(LC),골프,539000
P4400502028400,휠라슈즈,스포츠슈즈,스포츠,85000
P4221340110000,에꼴드빠리,캐릭터,캐릭터캐쥬얼,376000
P4230670013074,리츠,행사,캐릭터캐쥬얼,49000
P4206071013074,캐리스노트,니트웨어,엘레강스캐쥬얼,560000
P6315970019900,폴로,트래디셔널,트레디셔널,164000
P6300010019900,마에스트로,내셔날,정장,434000
P4409230020400,팅클,유아,아동,74000
P4400202022000,쇼콜라,미확인코너,아동,76500
P4400040020030,모다까리나,아동,아동,40800
P4217070010000,강숙희,국내부띠끄,로얄부띠끄,488000
P4408220027900,아레나,수영복,스포츠,35000
P4400202022200,쇼콜라,유아복,아동복,24000
P6317940019900,페라가모,수입,정장,425000
P4406190025000,블랙앤화이트,골프웨어,골프,57200
P4400492028420,리복슈즈,스포츠슈즈,스포츠,44000
P4405620026000,지오다노,진케주얼,진케주얼,109400
P4407110027000,컬럼비아,스포츠웨어,스포츠,78000
P4104840008000,샤넬,수입종합화장품,화장품,43000
P4412751025000,핑,골프(LC),골프,252000
P4210456010000,엘르,캐릭터,캐릭터캐쥬얼,248000
P4216172110000,마리끌레르,캐릭터,캐릭터캐쥬얼,138000
P4231090013074,샤틴,미확인코너,트랜디 케쥬얼,166000
P4400551026970,임페리얼,골프웨어,골프,-35000
P4208790111200,쿠기,영트랜드,영트렌디,42000
P4202285110000,텔레그라프,하이캐쥬얼,여성캐주얼,247000
P4553040050700,베스트캡,팬시,문화용품,7900
P4535611050700,주니데꼬,팬시,문화용품,86000
P4553130050700,씨엠씨모드,팬시,문화용품,10000
P4120500010000,겐조수입의류,수입부띠끄,로얄부띠끄,105000
P4405551020000,톰키드,아동,아동,49500
P4417730020000,인터크루키즈,아동,아동,140000
P4417730020470,인터크루키즈,아동,아동,52000
P4544940050700,스누피인형,문화,문화,26000
P4400540025000,라코스떼,골프웨어,골프,93000
P4205650010600,아고라,타운단품,"니트,단품,모피",158000
P4229811013080,시슬리,영트랜드,영트렌디,27500
P4529630042176,정우물산,주방용품,식기,13600
P4124180008000,시세이도,수입종합화장품,화장품,55000
P4140650000800,태현닥스외양말,양말,섬유잡화,22600
P4220242014400,ELLE,내의,내의란제리,141900
P4212360010000,오브제,하이캐쥬얼,여성캐주얼,674000
P4208890010000,타임,하이캐쥬얼,여성캐주얼,205000
P4140650000878,태현닥스외양말,양말,섬유잡화,6000
P4409271026000,써스데이아일앤드,용기보증,미확인pc,290100
P4119011010000,스트레네세,수입부띠끄,로얄부띠끄,936000
P4119010010020,말로,수입부띠끄,로얄부띠끄,412000
P4111550003200,오토,여성구두,여성구두,138000
P4400210022300,해피랜드,신생아,아동,30400
P4400210022000,해피랜드,신생아,아동,-30400
P4106530008200,메이컵포에버,색조화장품,화장품,18000
P4400280023220,NUK,신생아,아동,46720
P4109310008000,아모레,임대화장품,화장품,27000
P4405590026000,닉스,진캐쥬얼,진캐쥬얼,93000
P4222950015076,원더브라,란제리,란제리,74000
P4533170048500,앰비,완구(문화),문화,26000
P4405580026000,리바이스,진캐쥬얼,진캐쥬얼,105000
P4408173029974,1492마일즈,진캐쥬얼,진캐쥬얼,30400
P4415070026000,D-PULSE,진캐쥬얼,진캐쥬얼,48000
P4406261022300,엘르뿌뽕,신생아,아동,98000
P4209563011000,SJ,영캐주얼,트랜디 케쥬얼,105000
P4107320001100,월비스타킹,스타킹,명품시즌,10000
P4400540026973,라코스떼,골프(국내),골프,29500
P4400280023200,NUK,신생아,아동,12600
P4217330010000,크레송,캐릭터,캐릭터캐쥬얼,138000
P4800429513002,밀라노스토리무역,캐릭터,캐릭터캐쥬얼,29000
P4501880042130,백산,주방용품,식기,5600
P4131070203200,미소페,여성구두,여성구두,148000
P4132320008000,아베다,수입종합화장품,화장품,91000
P4522380939000,내쇼날,소형전기,가전,42000
P6300140019900,빈폴,트래디셔널,트래디셔널,395000
P4109350203200,탠디,여성구두,여성구두,175000
P4100391100400,발렌타인머플러,머플러,명품시즌,75000
P4408173027000,1492마일즈,진캐쥬얼,진캐쥬얼,55000
P4405620026274,지오다노,진캐쥬얼,진캐쥬얼,14800
P4400211022300,파코라반,신생아,아동,28000
P4220051010030,지고트,캐릭터,캐릭터캐쥬얼,180600
P4244761011030,ENC,영캐주얼,트랜디 케쥬얼,96600
P4406261022000,엘르뿌뽕,신생아,아동,48000
P4205560010000,키이스,타운웨어,엘레강스캐쥬얼,119000
P4218913014400,임프레션,행사,란제리,15000
P4109350203210,탠디,여성구두,여성구두,130500
