user_id,gender,age_group
U00000,M,3
U00002,M,3
U00003,F,2
U00004,F,2
U00005,M,4
U00006,M,5
U00009,F,2
U00010,F,3
U00014,F,3
U00015,F,3
U00016,M,3
U00018,F,3
U00019,F,3
U00020,M,3
U00024,M,2
U00025,F,2
U00026,F,2
U00027,F,3
U00028,F,2
U00031,M,3
U00033,M,5
U00034,M,4
U00035,M,5
U00037,M,4
U00038,M,5
U00039,M,4
U00040,F,4
U00043,F,2
U00044,F,3
U00045,F,3
U00047,F,2
U00048,F,4
U00049,F,2
U00051,F,3
U00053,M,2
U00056,M,2
U00058,F,2
U00059,M,5
U00060,F,3
U00061,M,4
U00062,F,3
U00063,M,3
U00065,F,2
U00066,F,5
U00067,F,5
U00068,F,2
U00069,F,2
U00070,F,3
U00075,F,4
U00076,F,4
U00077,F,2
U00079,F,3
U00080,F,5
U00081,F,4
U00082,F,2
U00083,F,4
U00084,M,2
U00085,F,2
U00086,F,2
U00087,F,2
U00088,M,5
U00089,F,2
U00090,F,2
U00091,F,3
U00092,F,3
U00094,M,3
U00097,F,4
U00098,M,3
U00099,F,3
U00100,F,3
U00101,M,5
U00102,F,2
U00103,F,2
U00105,M,4
U00107,M,3
U00108,M,3
U00109,F,2
U00112,F,4
U00114,F,2
U00115,F,2
U00116,F,5
U00118,F,4
U00123,M,3
U00124,F,2
U00125,F,4
U00126,F,2
U00127,F,3
U00129,M,5
U00130,F,3
U00131,F,2
U00132,M,3
U00133,F,2
U00135,M,5
U00136,M,3
U00137,F,4
U00138,F,2
U00139,F,3
U00140,F,2
U00141,F,3
U00142,F,4
U00143,F,3
U00144,F,3
U00145,M,3
U00146,F,3
U00148,M,5
U00150,F,5
U00151,M,4
U00153,F,4
U00156,M,5
U00157,F,2
U00158,M,5
U00160,F,3
U00161,F,2
U00162,F,3
U00163,F,3
U00164,F,3
U00166,F,2
U00169,F,2
U00170,M,3
U00171,F,2
U00172,F,2
U00173,F,2
U00174,F,3
U00175,M,2
U00176,F,3
U00177,F,3
U00178,F,3
U00180,M,3
U00182,F,5
U00183,F,3
U00187,F,4
U00188,F,3
U00190,F,4
U00191,F,3
U00192,F,2
U00193,M,2
U00195,F,2
U00196,M,3
U00198,F,5
U00199,F,4
U00200,F,3
U00201,F,2
U00202,M,3
U00203,F,3
U00204,F,3
U00205,F,2
U00206,M,4
U00208,F,4
U00211,M,2
U00212,F,4
U00213,F,4
U00214,M,3
U00216,M,5
U00217,F,2
U00218,M,4
U00219,F,5
U00220,F,2
U00222,M,5
U00223,F,2
U00225,F,2
U00226,F,4
U00227,M,2
U00228,F,3
U00229,F,3
U00230,M,5
U00232,F,4
U00233,M,3
U00235,F,2
U00236,M,5
U00237,F,3
U00238,F,3
U00239,F,4
U00241,M,3
U00242,F,3
U00244,F,4
U00245,F,4
U00246,M,4
U00247,F,3
U00250,M,5
U00251,F,2
U00252,M,4
U00253,M,3
U00256,F,3
U00257,F,2
U00258,M,4
U00259,F,3
U00260,M,4
U00262,F,2
U00265,F,2
U00266,F,2
U00267,F,3
U00268,F,2
U00269,M,3
U00270,F,2
U00271,M,2
U00272,F,2
U00273,F,5
U00274,F,2
U00275,F,5
U00276,F,2
U00277,F,3
U00278,M,3
U00280,F,2
U00281,F,5
U00282,F,5
U00283,F,4
U00285,F,2
U00286,F,2
U00287,F,2
U00288,F,2
U00289,M,5
U00291,M,3
U00292,M,3
U00293,M,3
U00295,F,3
U00297,F,5
U00302,M,3
U00303,F,3
U00304,F,2
U00306,M,4
U00307,F,3
U00308,F,3
U00309,M,3
U00310,F,3
U00312,M,4
U00313,F,3
U00314,F,4
U00315,M,5
U00316,F,2
U00317,F,5
U00319,F,3
U00320,F,2
U00322,M,3
U00324,F,2
U00325,F,3
U00326,M,3
U00327,F,2
U00328,M,3
U00329,F,2
U00330,F,3
U00332,F,5
U00334,F,2
U00335,F,2
U00336,M,4
U00337,M,4
U00338,M,5
U00340,F,2
U00342,F,2
U00343,M,3
U00344,M,4
U00345,F,3
U00346,F,3
U00347,F,3
U00348,F,3
U00350,F,2
U00351,F,3
U00353,M,5
U00354,F,3
U00355,F,4
U00356,M,3
U00358,F,2
U00359,F,2
U00360,F,3
U00362,M,3
U00364,M,3
U00366,F,2
U00367,F,3
U00368,F,3
U00369,F,3
U00370,F,2
U00371,F,2
U00373,F,2
U00375,F,3
U00376,F,2
U00377,M,4
U00378,F,5
U00379,F,3
U00380,F,3
U00381,M,2
U00382,F,3
U00383,M,3
U00386,F,4
U00387,F,4
U00388,M,5
U00389,F,3
U00390,F,4
U00391,F,4
U00393,M,3
U00394,F,2
U00395,F,2
U00396,F,5
U00397,M,5
U00398,F,3
U00399,M,3
U00400,F,3
U00402,M,3
U00403,F,3
U00404,F,2
U00406,F,5
U00407,F,4
U00408,M,3
U00409,F,4
U00411,F,2
U00412,M,5
U00413,F,3
U00414,M,5
U00415,F,4
U00416,F,2
U00418,F,3
U00420,M,5
U00422,F,2
U00423,F,2
U00424,M,3
U00425,F,3
U00427,F,2
U00428,F,2
U00429,F,3
U00430,F,4
U00431,F,5
U00433,F,2
U00435,M,4
U00436,F,3
U00437,M,4
U00438,M,4
U00439,M,4
U00440,F,2
U00442,M,3
U00444,F,2
U00445,F,3
U00446,F,2
U00447,F,5
U00448,F,3
U00452,F,2
U00453,M,5
U00456,F,2
U00457,F,2
U00458,M,4
U00459,M,3
U00460,M,2
U00461,F,2
U00462,F,2
U00463,F,2
U00464,F,5
U00465,F,2
U00466,F,2
U00468,F,2
U00469,M,3
U00470,F,2
U00471,M,5
U00472,M,5
U00473,F,3
U00474,M,2
U00475,F,3
U00476,F,4
U00478,M,5
U00480,F,2
U00482,F,3
U00483,M,4
U00484,F,3
U00485,F,2
U00486,M,2
U00487,F,2
U00489,F,3
U00490,F,2
U00491,F,2
U00492,F,4
U00493,F,2
U00494,F,2
U00495,M,3
U00496,M,2
U00497,M,3
U00499,F,2
U00500,F,2
U00501,M,5
U00504,F,3
U00505,F,2
U00506,M,2
U00507,F,3
U00508,F,5
U00509,M,3
U00510,F,2
U00511,F,2
U00512,M,4
U00514,F,3
U00515,F,3
U00516,M,4
U00517,F,3
U00518,F,3
U00520,F,5
U00521,F,4
U00522,F,4
U00523,M,2
U00524,F,4
U00525,M,4
U00526,F,2
U00528,F,3
U00529,M,3
U00530,F,3
U00531,F,2
U00532,F,5
U00533,F,2
U00534,F,2
U00535,M,4
U00537,M,4
U00538,F,2
U00539,F,5
U00540,M,4
U00541,M,5
U00544,M,3
U00545,M,5
U00546,F,2
U00547,F,2
U00548,F,5
U00549,F,2
U00550,F,2
U00551,M,5
U00552,F,2
U00555,F,2
U00558,M,4
U00559,F,3
U00564,F,3
U00565,F,3
U00567,F,3
U00568,F,2
U00569,F,2
U00570,F,2
U00574,F,5
U00577,F,2
U00578,F,2
U00579,F,2
U00581,F,4
U00582,M,3
U00584,M,5
U00586,M,2
U00587,M,5
U00588,M,3
U00589,F,3
U00590,F,2
U00592,F,4
U00593,F,2
U00594,F,3
U00595,F,3
U00596,M,3
U00598,F,5
U00599,M,3
U00600,F,5
U00601,M,3
U00602,M,4
U00604,M,3
U00606,F,3
U00608,F,4
U00609,M,4
U00610,F,4
U00611,M,5
U00612,F,5
U00614,F,2
U00615,F,4
U00616,F,3
U00617,F,4
U00618,M,3
U00619,F,2
U00620,F,2
U00622,F,2
U00623,M,3
U00625,F,3
U00627,M,2
U00628,M,5
U00629,F,3
U00630,F,2
U00631,M,3
U00632,F,2
U00633,M,4
U00634,M,3
U00635,F,3
U00636,F,3
U00638,M,3
U00639,F,3
U00640,F,2
U00641,M,3
U00642,F,2
U00645,M,4
U00646,F,2
U00647,F,4
U00648,M,4
U00649,M,2
U00651,M,3
U00653,F,3
U00655,F,2
U00658,F,4
U00659,F,3
U00661,M,3
U00662,F,2
U00664,F,2
U00665,F,3
U00666,M,2
U00667,F,4
U00668,F,3
U00670,M,4
U00671,F,2
U00676,F,2
U00677,F,3
U00678,F,3
U00679,M,5
U00680,M,3
U00681,F,3
U00682,F,3
U00684,F,2
U00685,F,4
U00686,F,3
